"","income","sex","eth","fedu","medu","weights"
"1",3110.48043262842,2,1,11,0,1
"2",3014.36953262842,2,1,9,8,1
"3",2753.92233262842,1,1,1,0,1
"4",2816.36103262842,2,1,11,9,1
"5",6072.09193262842,2,1,1,6,1
"6",2352.53093262842,2,1,11,9,1
"7",12530.0357326284,2,1,1,0,1
"8",2388.21013262842,1,1,1,0,1
"9",23590.5997326284,1,3,1,5,1
"10",3758.88813262842,1,1,1,0,1
"11",11102.8657326284,1,3,5,7,1
"12",2238.03973262842,1,1,1,0,1
"13",8890.75213262842,2,3,3,7,1
"14",3949.17693262842,2,1,9,6,1
"15",18785.9747326284,1,1,1,0,1
"16",3967.01653262842,2,1,8,12,1
"17",4488.49483262842,1,1,1,0,1
"18",5523.52363262842,1,1,9,8,1
"19",2004.65813262842,1,1,1,0,1
"20",3342.62983262842,1,1,1,5,1
"21",17792.7227326284,2,1,4,0,1
"22",6428.88443262842,2,1,9,0,1
"23",2557.68643262842,1,1,1,0,1
"24",3075.03553262842,1,1,1,10,1
"25",1951.29543262842,1,1,1,0,1
"26",22074.2327326284,1,1,1,0,1
"27",2397.12983262842,1,1,1,8,1
"28",2361.45063262842,2,1,1,0,1
"29",2629.04513262842,2,1,7,4,1
"30",6785.67693262842,2,1,10,12,1
"31",1050.23843262842,1,1,1,0,1
"32",9782.73353262842,2,1,1,12,1
"33",2183.05433262842,2,1,1,6,1
"34",7228.56313262842,2,1,4,11,1
"35",1630.02613262842,1,1,1,5,1
"36",1380.27153262842,2,1,1,0,1
"37",952.12053262842,1,1,6,0,1
"38",12378.3987326284,1,4,11,10,1
"39",8426.92203262842,1,1,8,0,1
"40",3931.33733262842,2,1,1,0,1
"41",4835.48303262842,1,3,1,2,1
"42",3506.89713262842,2,1,1,0,1
"43",1235.76973262842,1,1,8,0,1
"44",12984.9457326284,1,1,1,12,1
"45",3699.42233262842,1,1,1,0,1
"46",633.09660262842,1,1,1,0,1
"47",5412.02603262842,1,1,1,0,1
"48",4145.41273262842,1,1,8,0,1
"49",5850.50453262842,1,1,1,0,1
"50",28823.7087326284,1,1,1,4,1
"51",7053.27113262842,1,1,12,12,1
"52",2896.63933262842,1,1,1,0,1
"53",13154.4217326284,1,1,1,0,1
"54",3494.26673262842,2,1,1,0,1
"55",4099.62953262842,2,1,1,0,1
"56",2261.54973262842,1,1,1,0,1
"57",4858.99773262842,1,1,9,8,1
"58",1942.21953262842,1,1,1,6,1
"59",5447.44113262842,1,1,5,4,1
"60",1603.26673262842,1,3,1,0,1
"61",2004.65813262842,2,1,10,10,1
"62",1166.19593262842,1,1,11,0,1
"63",8819.39373262842,1,1,1,0,1
"64",1912.83533262842,1,1,1,6,1
"65",5376.34683262842,2,3,1,7,1
"66",2049.25723262842,2,1,6,6,1
"67",1612.18653262842,2,1,6,8,1
"68",3612.69813262842,1,1,1,0,1
"69",3164.23353262842,2,1,1,0,1
"70",6196.96943262842,1,2,10,12,1
"71",2746.87783262842,1,1,1,0,1
"72",11950.2477326284,2,1,1,5,1
"73",6375.36543262842,1,1,1,7,1
"74",4708.25503262842,1,1,3,0,1
"75",2967.99773262842,1,3,1,0,1
"76",2227.65353262842,1,1,4,10,1
"77",14046.4027326284,2,2,9,12,1
"78",2004.65813262842,1,1,1,0,1
"79",1291.07343262842,1,1,11,11,1
"80",6598.36103262842,1,1,5,8,1
"81",9693.53533262842,1,1,1,0,1
"82",14670.8737326284,1,4,12,10,1
"83",1166.19593262842,1,1,8,0,1
"84",1857.45003262842,2,1,1,0,1
"85",2482.59583262842,2,1,5,10,1
"86",3372.92543262842,1,1,1,11,1
"87",1201.87533262842,2,1,1,0,1
"88",11869.5797326284,1,1,7,8,1
"89",4092.75263262842,1,1,1,0,1
"90",4609.24283262842,1,1,11,0,1
"91",845.08281262842,1,1,5,0,1
"92",12480.0797326284,2,1,1,0,1
"93",3610.22433262842,2,1,1,0,1
"94",9274.30383262842,1,1,1,1,1
"95",7490.34193262842,1,1,1,0,1
"96",18417.1107326284,1,1,1,0,1
"97",6910.55433262842,1,1,1,0,1
"98",2093.85633262842,1,3,1,3,1
"99",5661.78093262842,1,1,1,0,1
"100",4636.00263262842,2,3,1,10,1
"101",3869.79073262842,2,1,9,8,1
"102",5505.72873262842,1,3,9,8,1
"103",6152.37033262842,1,1,3,4,1
"104",2004.66353262842,1,1,9,8,1
"105",3837.20203262842,1,1,1,8,1
"106",3663.74313262842,1,1,9,7,1
"107",1458.50723262842,1,1,1,9,1
"108",4368.40793262842,1,1,1,0,1
"109",2718.24313262842,2,1,4,6,1
